year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2006,Supporting Actress,Babel,Rinko Kikuchi,0.0,0.0,0.0,0.0,143,135300000.0,7.5,77.0,69.0,1,1,0,0,0,0,0,0,1
2007,Supporting Actress,Michael Clayton,Tilda Swinton,1.0,0.0,0.0,1.0,119,92900000.0,7.3,69.0,90.0,1,1,0,0,0,0,0,0,1
2007,Supporting Actress,I'm Not There,Cate Blanchett,0.0,1.0,0.0,0.0,135,11700000.0,7.0,69.0,76.0,1,1,0,0,0,0,0,0,1
2007,Supporting Actress,American Gangster,Ruby Dee,0.0,0.0,1.0,0.0,158,266500000.0,7.8,87.0,80.0,1,1,0,0,0,0,0,0,1
2007,Supporting Actress,Atonement,Saoirse Ronan,0.0,0.0,0.0,0.0,123,129300000.0,7.8,80.0,83.0,0,1,0,0,0,1,0,0,0
2007,Supporting Actress,Gone Baby Gone,Amy Ryan,0.0,0.0,0.0,0.0,114,34600000.0,7.7,86.0,94.0,1,1,0,0,0,0,0,0,1
2008,Supporting Actress,Vicky Cristina Barcelona,Penlope Cruz,1.0,0.0,0.0,1.0,97,96409300.0,7.1,74.0,81.0,0,0,0,1,0,0,0,1,0
2008,Supporting Actress,Doubt,Amy Adams,0.0,0.0,0.0,0.0,104,50900000.0,7.5,78.0,78.0,1,0,0,1,0,0,0,0,1
2008,Supporting Actress,The Curious Case of Benjamin Button,Taraji P. Henson,0.0,0.0,0.0,0.0,166,333900000.0,7.8,80.0,72.0,1,0,0,1,0,0,0,0,1
2008,Supporting Actress,The Wrestler,Marisa Tomei,0.0,0.0,0.0,0.0,109,44700000.0,7.9,88.0,98.0,1,1,0,0,0,1,0,0,0
2009,Supporting Actress,Precious,Mo'Nique,1.0,1.0,1.0,1.0,110,63600000.0,7.3,81.0,91.0,1,1,0,0,0,0,0,0,1
2009,Supporting Actress,Nine,Penlope Cruz,0.0,0.0,0.0,0.0,118,53900000.0,5.8,37.0,38.0,1,0,0,1,0,0,0,0,1
2009,Supporting Actress,Up in the Air,Vera Farmiga,0.0,0.0,0.0,0.0,109,166800000.0,7.4,79.0,91.0,1,1,0,0,0,0,0,0,1
2009,Supporting Actress,Crazy Heart,Maggie Gyllenhaal,0.0,0.0,0.0,0.0,112,47400000.0,7.3,76.0,91.0,1,1,0,0,0,1,0,0,0
2009,Supporting Actress,Up in the Air,Anna Kendrick,0.0,0.0,0.0,0.0,109,166800000.0,7.4,79.0,91.0,1,1,0,0,0,0,0,0,1
2010,Supporting Actress,The Fighter,Melissa Leo,0.0,1.0,1.0,1.0,115,129200000.0,7.9,89.0,90.0,1,1,0,0,0,0,0,0,1
2010,Supporting Actress,The Fighter,Amy Adams,0.0,0.0,0.0,0.0,115,129200000.0,7.9,89.0,90.0,1,1,0,0,0,0,0,0,1
2010,Supporting Actress,The King's Speech,Helena Bonham Carter,1.0,0.0,0.0,0.0,119,414200000.0,8.0,92.0,95.0,0,1,0,0,0,0,0,0,1
