year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2010,Original Screenplay,The King's Speech,David Seidler,1,0,0,1,119,414200000,8,92,95,0,1,0,0,0,0,0,0,1
2010,Original Screenplay,Another Year,Mike Leigh,0,0,0,0,129,18124262,7.3,74,92,0,0,0,1,0,1,0,0,0
2010,Original Screenplay,The Fighter,Scott Silver,0,0,0,0,115,129200000,7.9,89,90,1,1,0,0,0,0,0,0,1
2010,Original Screenplay,Inception,Christopher Nolan,0,0,0,0,148,825500000,8.8,91,86,0,0,0,1,0,0,0,1,0
2010,Original Screenplay,The Kids Are All Right,Lisa Cholodenko,0,0,0,0,107,34700000,7.1,73,93,1,1,0,0,0,0,0,1,0
2011,Original Screenplay,Midnight in Paris,Woody Allen,0,1,0,1,94,151100000,7.7,83,93,1,0,0,1,0,0,1,0,0
2011,Original Screenplay,The Artist,Michel Hazanavicius,1,0,0,0,100,133400000,7.9,87,96,0,0,0,1,0,1,0,0,0
2011,Original Screenplay,Bridesmaids,Kristen Wiig,0,0,0,0,125,288400000,6.8,76,90,1,1,0,0,0,0,1,0,0
2011,Original Screenplay,Margin Call,J. C. Chandor,0,0,0,0,109,19500000,7.1,74,88,1,1,0,0,0,0,0,1,0
2011,Original Screenplay,A Separation,Asghar Farhadi,0,0,0,0,123,24400000,8.4,92,99,0,0,0,1,0,1,0,0,0
2012,Original Screenplay,Django Unchained,Quentin Tarantino,1,1,0,1,165,425400000,8.4,91,88,1,1,0,0,0,0,0,0,1
2012,Original Screenplay,Amour,Michael Haneke,0,0,0,0,127,29900000,7.9,82,93,0,0,0,1,0,0,0,1,0
2012,Original Screenplay,Flight,John Gatins,0,0,0,0,138,161800000,7.3,75,78,1,1,0,0,0,0,0,0,1
2012,Original Screenplay,Moonrise Kingdom,Wes Anderson,0,0,0,0,94,68300000,7.8,86,94,1,0,0,1,0,0,1,0,0
2012,Original Screenplay,Zero Dark Thirty,Mark Boal,0,0,0,0,157,132800000,7.4,80,92,1,1,0,0,0,1,0,0,0
2013,Original Screenplay,Her,Spike Jonze,0,1,0,1,126,48800000,8,82,95,1,1,0,0,0,1,0,0,0
2013,Original Screenplay,American Hustle,Eric Warren Singer,1,0,0,0,138,251100000,7.3,74,93,1,1,0,0,0,0,0,0,1
2013,Original Screenplay,Blue Jasmine,Woody Allen,0,0,0,0,99,97500000,7.3,77,91,1,0,0,1,0,0,0,1,0
2013,Original Screenplay,Dallas Buyers Club,Craig Borten,0,0,0,0,116,55200000,8,91,94,1,1,0,0,0,0,0,0,1
2013,Original Screenplay,Nebraska,Bob Nelson,0,0,0,0,114,27700000,7.7,83,91,1,1,0,0,0,1,0,0,0
2014,Original Screenplay,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Irritu,0,0,0,1,119,103200000,7.8,77,91,1,1,0,0,0,0,0,0,1
2014,Original Screenplay,Boyhood,Richard Linklater,0,0,0,0,165,44500000,7.9,81,98,1,1,0,0,0,0,0,1,0
2014,Original Screenplay,Foxcatcher,E. Max Frye,0,0,0,0,134,13600000,7,66,88,1,1,0,0,0,1,0,0,0
2014,Original Screenplay,The Grand Budapest Hotel,Wes Anderson,1,0,0,0,100,174800000,8.1,86,92,1,1,0,0,0,1,0,0,0
2014,Original Screenplay,Nightcrawler,Dan Gilroy,0,0,0,0,117,50300000,7.9,85,95,1,1,0,0,0,0,0,0,1
2015,Original Screenplay,Spotlight,Tom McCarthy,1,0,0,1,129,88300000,8.1,93,96,1,1,0,0,0,0,0,0,1
2015,Original Screenplay,Bridge of Spies,Matt Charman,0,0,0,0,141,165500000,7.6,87,91,1,0,0,1,0,0,0,0,1
2015,Original Screenplay,Ex Machina,Alex Garland,0,0,0,0,108,36900000,7.7,86,93,0,1,0,0,0,0,1,0,0
2015,Original Screenplay,Inside Out,Josh Cooley,0,0,0,0,94,857600000,8.2,89,98,1,0,1,0,0,0,1,0,0
2015,Original Screenplay,Straight Outta Compton,Andrea Berloff,0,0,0,0,147,201600000,7.9,91,87,1,1,0,0,0,0,0,1,0
2016,Original Screenplay,20th Century Women,Mike Mills,0,0,0,0,118,5300000,7.6,77,89,1,1,0,0,0,1,0,0,0
2016,Original Screenplay,Hell or High Water,Taylor Sheridan,0,0,0,0,102,32300000,7.7,89,98,1,1,0,0,0,0,0,1,0
2016,Original Screenplay,La La Land,Damien Chazelle,0,1,0,0,128,341100000,8.5,85,93,1,0,0,1,0,0,0,0,1
2016,Original Screenplay,The Lobster,Yorgos Lanthimos,0,0,0,0,118,15700000,7.1,64,89,0,1,0,0,0,0,0,0,1
2016,Original Screenplay,Manchester by the Sea,Kenneth Lonergan,1,0,0,1,137,60700000,8.1,81,96,1,1,0,0,0,0,0,0,1
2017,Original Screenplay,The Big Sick,Written by Emily V. Gordon & Kumail Nanjiani,0,0,0,0,120,55600000,7.6,6.9,86,1,1,0,0,0,0,1,0,0
2017,Original Screenplay,Get Out,Written by Jordan Peele,0,0,0,1,104,255000000,7.7,7.2,84,1,1,0,0,0,1,0,0,0
2017,Original Screenplay,Lady Bird,Written by Greta Gerwig,0,0,0,0,94,44200000,7.8,7.2,94,1,1,0,0,0,0,0,0,1
2017,Original Screenplay,The Shape of Water,Screenplay by Guillermo del Toro & Vanessa Taylor,0,0,0,0,123,67000000,7.8,7.1,87,1,1,0,0,0,0,0,0,1
2017,Original Screenplay,"Three Billboards outside Ebbing, Missouri",Written by Martin McDonagh,1,0,0,0,115,91100000,8.3,7.4,88,0,1,0,0,0,0,0,0,1
2018,Original Screenplay,The Favourite,Deborah Davis and Tony McNamara,1,0,0,0,119,26109876,7.9,7.5,90,1,1,0,0,0,0,0,0,1
2018,Original Screenplay,First Reformed,Paul Schrader,0,0,0,0,113,3448256,7.1,7.6,85,1,1,0,0,0,0,1,0,0
2018,Original Screenplay,Green Book,"Nick Vallelonga, Brian Hayes Currie and Peter Farrelly",0,0,0,1,130,49078216,8.3,7.8,70,1,0,0,1,0,0,0,0,1
2018,Original Screenplay,Roma,Alfonso Cuarón,0,0,0,0,135,116235682,8,8.1,96,0,1,0,0,0,0,0,0,1
2018,Original Screenplay,Vice,Adam McKay,0,0,1,0,132,42197631,7.1,6.2,61,1,1,0,0,0,0,0,0,1
2019,Original Screenplay,Knives Out,Rian Johnson,0,0,0,0,130,277992387,8,7.4,82,1,0,0,1,0,0,0,0,1
2019,Original Screenplay,Marriage Story,Noah Baumbach,0,0,0,0,136,2300000,8.1,8,93,1,1,0,0,0,0,0,0,1
2019,Original Screenplay,1917,Sam Mendes e Krysty Wilson-Cairns,0,0,0,0,119,143336984,8.6,8.4,79,1,1,0,0,0,0,0,0,1
2019,Original Screenplay,Once Upon a Time... in Hollywood,Quentin Tarantino,0,1,0,0,161,373058543,7.8,7.6,83,1,1,0,0,0,0,0,1,0
2019,Original Screenplay,Parasite,Bong Joon Ho e Han Jin Won,1,0,0,1,132,139600731,8.6,8.9,96,0,1,0,0,0,0,1,0,0
